,date,pred,actual
0,1980-01-01,1.0,1.0
1,1980-02-01,1.0,1.0
2,1980-03-01,1.0,1.0
3,1980-04-01,1.0,1.0
4,1980-05-01,0.0,1.0
5,1980-06-01,0.0,1.0
6,1980-07-01,1.0,0.0
7,1980-08-01,1.0,0.0
8,1980-09-01,1.0,0.0
9,1980-10-01,1.0,0.0
10,1980-11-01,0.0,0.0
11,1980-12-01,0.0,0.0
12,1981-01-01,0.0,0.0
13,1981-02-01,0.0,0.0
14,1981-03-01,0.0,0.0
15,1981-04-01,0.0,0.0
16,1981-05-01,0.0,0.0
17,1981-06-01,0.0,0.0
18,1981-07-01,0.0,1.0
19,1981-08-01,0.0,1.0
20,1981-09-01,0.0,1.0
21,1981-10-01,0.0,1.0
22,1981-11-01,0.0,1.0
23,1981-12-01,0.0,1.0
24,1982-01-01,0.0,1.0
25,1982-02-01,1.0,1.0
26,1982-03-01,0.0,1.0
27,1982-04-01,1.0,1.0
28,1982-05-01,1.0,1.0
29,1982-06-01,0.0,1.0
30,1982-07-01,0.0,1.0
31,1982-08-01,0.0,1.0
32,1982-09-01,1.0,1.0
33,1982-10-01,1.0,1.0
34,1982-11-01,1.0,0.0
35,1982-12-01,1.0,0.0
36,1983-01-01,1.0,0.0
37,1983-02-01,1.0,0.0
38,1983-03-01,1.0,0.0
39,1983-04-01,1.0,0.0
40,1983-05-01,1.0,0.0
41,1983-06-01,1.0,0.0
42,1983-07-01,1.0,0.0
43,1983-08-01,1.0,0.0
44,1983-09-01,1.0,0.0
45,1983-10-01,1.0,0.0
46,1983-11-01,0.0,0.0
47,1983-12-01,0.0,0.0
48,1984-01-01,0.0,0.0
49,1984-02-01,0.0,0.0
50,1984-03-01,0.0,0.0
51,1984-04-01,0.0,0.0
52,1984-05-01,0.0,0.0
53,1984-06-01,0.0,0.0
54,1984-07-01,0.0,0.0
55,1984-08-01,0.0,0.0
56,1984-09-01,0.0,0.0
57,1984-10-01,0.0,0.0
58,1984-11-01,0.0,0.0
59,1984-12-01,0.0,0.0
60,1985-01-01,0.0,0.0
61,1985-02-01,0.0,0.0
62,1985-03-01,0.0,0.0
63,1985-04-01,0.0,0.0
64,1985-05-01,0.0,0.0
65,1985-06-01,0.0,0.0
66,1985-07-01,0.0,0.0
67,1985-08-01,0.0,0.0
68,1985-09-01,0.0,0.0
69,1985-10-01,0.0,0.0
70,1985-11-01,0.0,0.0
71,1985-12-01,0.0,0.0
72,1986-01-01,0.0,0.0
73,1986-02-01,0.0,0.0
74,1986-03-01,0.0,0.0
75,1986-04-01,0.0,0.0
76,1986-05-01,0.0,0.0
77,1986-06-01,0.0,0.0
78,1986-07-01,0.0,0.0
79,1986-08-01,0.0,0.0
80,1986-09-01,0.0,0.0
81,1986-10-01,0.0,0.0
82,1986-11-01,0.0,0.0
83,1986-12-01,0.0,0.0
84,1987-01-01,0.0,0.0
85,1987-02-01,0.0,0.0
86,1987-03-01,0.0,0.0
87,1987-04-01,0.0,0.0
88,1987-05-01,0.0,0.0
89,1987-06-01,0.0,0.0
90,1987-07-01,0.0,0.0
91,1987-08-01,1.0,0.0
92,1987-09-01,1.0,0.0
93,1987-10-01,1.0,0.0
94,1987-11-01,1.0,0.0
95,1987-12-01,1.0,0.0
96,1988-01-01,1.0,0.0
97,1988-02-01,1.0,0.0
98,1988-03-01,1.0,0.0
99,1988-04-01,1.0,0.0
100,1988-05-01,1.0,0.0
101,1988-06-01,1.0,0.0
102,1988-07-01,1.0,0.0
103,1988-08-01,1.0,0.0
104,1988-09-01,1.0,0.0
105,1988-10-01,1.0,0.0
106,1988-11-01,1.0,0.0
107,1988-12-01,1.0,0.0
108,1989-01-01,1.0,0.0
109,1989-02-01,1.0,0.0
110,1989-03-01,1.0,0.0
111,1989-04-01,1.0,0.0
112,1989-05-01,1.0,0.0
113,1989-06-01,1.0,0.0
114,1989-07-01,1.0,0.0
115,1989-08-01,1.0,0.0
116,1989-09-01,0.0,0.0
117,1989-10-01,0.0,0.0
118,1989-11-01,0.0,0.0
119,1989-12-01,0.0,0.0
120,1990-01-01,0.0,0.0
121,1990-02-01,0.0,0.0
122,1990-03-01,0.0,0.0
123,1990-04-01,0.0,0.0
124,1990-05-01,0.0,0.0
125,1990-06-01,0.0,0.0
126,1990-07-01,0.0,1.0
127,1990-08-01,0.0,1.0
128,1990-09-01,0.0,1.0
129,1990-10-01,0.0,1.0
130,1990-11-01,0.0,1.0
131,1990-12-01,0.0,1.0
132,1991-01-01,0.0,1.0
133,1991-02-01,0.0,1.0
134,1991-03-01,0.0,0.0
135,1991-04-01,0.0,0.0
136,1991-05-01,0.0,0.0
137,1991-06-01,0.0,0.0
138,1991-07-01,0.0,0.0
139,1991-08-01,0.0,0.0
140,1991-09-01,0.0,0.0
141,1991-10-01,0.0,0.0
142,1991-11-01,0.0,0.0
143,1991-12-01,0.0,0.0
144,1992-01-01,0.0,0.0
145,1992-02-01,0.0,0.0
146,1992-03-01,0.0,0.0
147,1992-04-01,0.0,0.0
148,1992-05-01,0.0,0.0
149,1992-06-01,0.0,0.0
150,1992-07-01,0.0,0.0
151,1992-08-01,0.0,0.0
152,1992-09-01,0.0,0.0
153,1992-10-01,0.0,0.0
154,1992-11-01,0.0,0.0
155,1992-12-01,0.0,0.0
156,1993-01-01,0.0,0.0
157,1993-02-01,0.0,0.0
158,1993-03-01,0.0,0.0
159,1993-04-01,0.0,0.0
160,1993-05-01,0.0,0.0
161,1993-06-01,0.0,0.0
162,1993-07-01,0.0,0.0
163,1993-08-01,0.0,0.0
164,1993-09-01,0.0,0.0
165,1993-10-01,0.0,0.0
166,1993-11-01,0.0,0.0
167,1993-12-01,0.0,0.0
168,1994-01-01,0.0,0.0
169,1994-02-01,0.0,0.0
170,1994-03-01,0.0,0.0
171,1994-04-01,0.0,0.0
172,1994-05-01,0.0,0.0
173,1994-06-01,0.0,0.0
174,1994-07-01,0.0,0.0
175,1994-08-01,0.0,0.0
176,1994-09-01,0.0,0.0
177,1994-10-01,0.0,0.0
178,1994-11-01,0.0,0.0
179,1994-12-01,0.0,0.0
180,1995-01-01,0.0,0.0
181,1995-02-01,0.0,0.0
182,1995-03-01,0.0,0.0
183,1995-04-01,1.0,0.0
184,1995-05-01,1.0,0.0
185,1995-06-01,1.0,0.0
186,1995-07-01,1.0,0.0
187,1995-08-01,1.0,0.0
188,1995-09-01,1.0,0.0
189,1995-10-01,1.0,0.0
190,1995-11-01,1.0,0.0
191,1995-12-01,1.0,0.0
192,1996-01-01,0.0,0.0
193,1996-02-01,0.0,0.0
194,1996-03-01,0.0,0.0
195,1996-04-01,0.0,0.0
196,1996-05-01,0.0,0.0
197,1996-06-01,0.0,0.0
198,1996-07-01,0.0,0.0
199,1996-08-01,0.0,0.0
200,1996-09-01,0.0,0.0
201,1996-10-01,0.0,0.0
202,1996-11-01,0.0,0.0
203,1996-12-01,0.0,0.0
204,1997-01-01,0.0,0.0
205,1997-02-01,0.0,0.0
206,1997-03-01,0.0,0.0
207,1997-04-01,0.0,0.0
208,1997-05-01,0.0,0.0
209,1997-06-01,0.0,0.0
210,1997-07-01,0.0,0.0
211,1997-08-01,0.0,0.0
212,1997-09-01,0.0,0.0
213,1997-10-01,0.0,0.0
214,1997-11-01,0.0,0.0
215,1997-12-01,0.0,0.0
216,1998-01-01,0.0,0.0
217,1998-02-01,0.0,0.0
218,1998-03-01,0.0,0.0
219,1998-04-01,0.0,0.0
220,1998-05-01,0.0,0.0
221,1998-06-01,0.0,0.0
222,1998-07-01,0.0,0.0
223,1998-08-01,0.0,0.0
224,1998-09-01,0.0,0.0
225,1998-10-01,0.0,0.0
226,1998-11-01,0.0,0.0
227,1998-12-01,0.0,0.0
228,1999-01-01,0.0,0.0
229,1999-02-01,0.0,0.0
230,1999-03-01,0.0,0.0
231,1999-04-01,0.0,0.0
232,1999-05-01,0.0,0.0
233,1999-06-01,0.0,0.0
234,1999-07-01,0.0,0.0
235,1999-08-01,0.0,0.0
236,1999-09-01,0.0,0.0
237,1999-10-01,0.0,0.0
238,1999-11-01,0.0,0.0
239,1999-12-01,0.0,0.0
240,2000-01-01,0.0,0.0
241,2000-02-01,0.0,0.0
242,2000-03-01,0.0,0.0
243,2000-04-01,0.0,0.0
244,2000-05-01,0.0,0.0
245,2000-06-01,0.0,0.0
246,2000-07-01,0.0,0.0
247,2000-08-01,0.0,0.0
248,2000-09-01,0.0,0.0
249,2000-10-01,0.0,0.0
250,2000-11-01,0.0,0.0
251,2000-12-01,0.0,0.0
252,2001-01-01,0.0,0.0
253,2001-02-01,0.0,0.0
254,2001-03-01,0.0,1.0
255,2001-04-01,0.0,1.0
256,2001-05-01,0.0,1.0
257,2001-06-01,0.0,1.0
258,2001-07-01,0.0,1.0
259,2001-08-01,0.0,1.0
260,2001-09-01,0.0,1.0
261,2001-10-01,0.0,1.0
262,2001-11-01,1.0,0.0
263,2001-12-01,0.0,0.0
264,2002-01-01,0.0,0.0
265,2002-02-01,0.0,0.0
266,2002-03-01,0.0,0.0
267,2002-04-01,0.0,0.0
268,2002-05-01,0.0,0.0
269,2002-06-01,0.0,0.0
270,2002-07-01,0.0,0.0
271,2002-08-01,0.0,0.0
272,2002-09-01,0.0,0.0
273,2002-10-01,1.0,0.0
274,2002-11-01,0.0,0.0
275,2002-12-01,0.0,0.0
276,2003-01-01,0.0,0.0
277,2003-02-01,0.0,0.0
278,2003-03-01,0.0,0.0
279,2003-04-01,0.0,0.0
280,2003-05-01,0.0,0.0
281,2003-06-01,0.0,0.0
282,2003-07-01,0.0,0.0
283,2003-08-01,0.0,0.0
284,2003-09-01,0.0,0.0
285,2003-10-01,0.0,0.0
286,2003-11-01,0.0,0.0
287,2003-12-01,0.0,0.0
288,2004-01-01,0.0,0.0
289,2004-02-01,0.0,0.0
290,2004-03-01,0.0,0.0
291,2004-04-01,0.0,0.0
292,2004-05-01,0.0,0.0
293,2004-06-01,0.0,0.0
294,2004-07-01,0.0,0.0
295,2004-08-01,0.0,0.0
296,2004-09-01,0.0,0.0
297,2004-10-01,0.0,0.0
298,2004-11-01,0.0,0.0
299,2004-12-01,0.0,0.0
300,2005-01-01,0.0,0.0
301,2005-02-01,0.0,0.0
302,2005-03-01,0.0,0.0
303,2005-04-01,0.0,0.0
304,2005-05-01,0.0,0.0
305,2005-06-01,0.0,0.0
306,2005-07-01,0.0,0.0
307,2005-08-01,0.0,0.0
308,2005-09-01,0.0,0.0
309,2005-10-01,0.0,0.0
310,2005-11-01,0.0,0.0
311,2005-12-01,0.0,0.0
312,2006-01-01,0.0,0.0
313,2006-02-01,0.0,0.0
314,2006-03-01,0.0,0.0
315,2006-04-01,0.0,0.0
316,2006-05-01,0.0,0.0
317,2006-06-01,0.0,0.0
318,2006-07-01,0.0,0.0
319,2006-08-01,0.0,0.0
320,2006-09-01,0.0,0.0
321,2006-10-01,0.0,0.0
322,2006-11-01,0.0,0.0
323,2006-12-01,0.0,0.0
324,2007-01-01,0.0,0.0
325,2007-02-01,0.0,0.0
326,2007-03-01,0.0,0.0
327,2007-04-01,0.0,0.0
328,2007-05-01,0.0,0.0
329,2007-06-01,0.0,0.0
330,2007-07-01,0.0,0.0
331,2007-08-01,0.0,0.0
332,2007-09-01,0.0,0.0
333,2007-10-01,0.0,0.0
334,2007-11-01,0.0,0.0
335,2007-12-01,0.0,1.0
336,2008-01-01,0.0,1.0
337,2008-02-01,0.0,1.0
338,2008-03-01,0.0,1.0
339,2008-04-01,1.0,1.0
340,2008-05-01,1.0,1.0
341,2008-06-01,0.0,1.0
342,2008-07-01,1.0,1.0
343,2008-08-01,1.0,1.0
344,2008-09-01,1.0,1.0
345,2008-10-01,1.0,1.0
346,2008-11-01,1.0,1.0
347,2008-12-01,1.0,1.0
348,2009-01-01,1.0,1.0
349,2009-02-01,1.0,1.0
350,2009-03-01,1.0,1.0
351,2009-04-01,1.0,1.0
352,2009-05-01,0.0,1.0
353,2009-06-01,0.0,0.0
354,2009-07-01,0.0,0.0
355,2009-08-01,0.0,0.0
356,2009-09-01,0.0,0.0
357,2009-10-01,0.0,0.0
358,2009-11-01,1.0,0.0
359,2009-12-01,0.0,0.0
